run,timestep,r_A,count,shell_volume_A3,number_density_O_per_A3
nvt300_contained_bn_neutralized,0,0.875,28,1924.225500323748,0.014551309082687576
nvt300_contained_bn_neutralized,0,2.625,76,5772.676500971245,0.013165470122431614
nvt300_contained_bn_neutralized,0,4.375,119,9621.127501618741,0.012368612720284439
nvt300_contained_bn_neutralized,0,6.125,163,13469.578502266239,0.01210134377794936
nvt300_contained_bn_neutralized,0,7.875,206,17318.029502913734,0.011895117742196985
nvt300_contained_bn_neutralized,0,9.625,261,21166.480503561233,0.012330817112277456
nvt300_contained_bn_neutralized,0,11.375,304,25014.931504208726,0.012152741651475337
nvt300_contained_bn_neutralized,0,13.125,347,28863.382504856225,0.012022152980220448
nvt300_contained_bn_neutralized,0,14.875,409,32711.83350550372,0.012503120619368105
nvt300_contained_bn_neutralized,0,16.625,434,36560.28450615122,0.011870804777981967
nvt300_contained_bn_neutralized,0,18.375,489,40408.73550679871,0.012101343777949362
nvt300_contained_bn_neutralized,0,20.125,517,44257.18650744621,0.01168171862694018
nvt300_contained_bn_neutralized,0,21.875,618,48105.63750809371,0.012846727161572744
nvt300_contained_bn_neutralized,0,23.625,649,51954.0885087412,0.012491798405640523
nvt300_contained_bn_neutralized,0,25.375,672,55802.539509388705,0.01204246268912075
nvt300_contained_bn_neutralized,0,27.125,732,59650.990510036194,0.012271380470653577
nvt300_contained_bn_neutralized,0,28.875,798,63499.4415106837,0.012567039662321085
nvt300_contained_bn_neutralized,0,30.625,786,67347.89251133119,0.011670743815298402
nvt300_contained_bn_neutralized,0,32.375,901,71196.34351197869,0.012655144289094115
nvt300_contained_bn_neutralized,0,34.125,936,75044.79451262619,0.012472550642303633
nvt300_contained_bn_neutralized,0,35.875,970,78893.24551327368,0.012295095653490372
nvt300_contained_bn_neutralized,0,37.625,983,82741.69651392118,0.01188034620289193
nvt300_contained_bn_neutralized,0,39.375,1015,86590.14751456867,0.01172188787216499
nvt300_contained_bn_neutralized,0,41.125,1102,90438.59851521616,0.012185062772888836
nvt300_contained_bn_neutralized,0,42.875,1136,94287.04951586366,0.01204831422589875
nvt300_contained_bn_neutralized,0,44.625,1197,98135.50051651117,0.012197420848723408
nvt300_contained_bn_neutralized,0,46.375,1311,101983.95151715867,0.012854963751619547
nvt300_contained_bn_neutralized,0,48.125,1350,105832.40251780614,0.012756017702355993
nvt300_contained_bn_neutralized,0,49.875,1470,109680.85351845366,0.013402521523528027
nvt300_contained_bn_neutralized,0,51.625,1555,113529.30451910115,0.01369690413049587
nvt300_contained_bn_neutralized,0,53.375,1570,117377.75551974864,0.013375617833617971
nvt300_contained_bn_neutralized,0,55.125,1513,121226.20652039614,0.01248079968373373
nvt300_contained_bn_neutralized,0,56.875,1391,125074.65752104363,0.011121357656054076
nvt300_contained_bn_neutralized,0,58.625,1136,128923.10852169115,0.008811453687597592
nvt300_contained_bn_neutralized,0,60.375,878,132771.55952233865,0.006612861995134414
nvt300_contained_bn_neutralized,0,62.125,635,136620.01052298612,0.004647928202971132
nvt300_contained_bn_neutralized,0,63.875,392,140468.46152363362,0.002790662015857891
nvt300_contained_bn_neutralized,0,65.625,302,144316.9125242811,0.002092616829986499
nvt300_contained_bn_neutralized,0,67.375,403,148165.36352492863,0.0027199339333595046
nvt300_contained_bn_neutralized,0,69.125,167,152013.8145255761,0.0010985843656459427
nvt300_contained_bn_neutralized,0,70.875,55,155862.2655262236,0.000352875661176286
nvt300_contained_bn_neutralized,0,72.625,20,159710.7165268711,0.00012522641207132163
nvt300_contained_bn_neutralized,0,74.375,0,163559.16752751858,0.0
nvt300_contained_bn_neutralized,0,76.125,0,167407.61852816612,0.0
nvt300_contained_bn_neutralized,0,77.875,0,171256.0695288136,0.0
nvt300_contained_bn_neutralized,0,79.625,0,175104.5205294611,0.0
nvt300_contained_bn_neutralized,0,81.375,0,178952.9715301086,0.0
nvt300_contained_bn_neutralized,0,83.125,0,182801.42253075607,0.0
nvt300_contained_bn_neutralized,0,84.875,0,186649.8735314036,0.0
nvt300_contained_bn_neutralized,0,86.625,0,190498.32453205108,0.0
nvt300_contained_bn_neutralized,0,88.375,0,194346.77553269858,0.0
nvt300_contained_bn_neutralized,0,90.125,0,198195.22653334605,0.0
nvt300_contained_bn_neutralized,0,91.875,0,202043.67753399356,0.0
nvt300_contained_bn_neutralized,0,93.625,0,205892.12853464106,0.0
nvt300_contained_bn_neutralized,0,95.375,0,209740.57953528853,0.0
nvt300_contained_bn_neutralized,0,97.125,0,213589.0305359361,0.0
nvt300_contained_bn_neutralized,0,98.875,0,217437.48153658357,0.0
nvt300_contained_bn_neutralized,0,100.625,0,221285.93253723107,0.0
nvt300_contained_bn_neutralized,0,102.375,0,225134.38353787854,0.0
nvt300_contained_bn_neutralized,0,104.125,0,228982.83453852605,0.0
nvt300_contained_bn_neutralized,0,105.875,0,232831.28553917355,0.0
nvt300_contained_bn_neutralized,0,107.625,0,236679.73653982102,0.0
nvt300_contained_bn_neutralized,0,109.375,0,240528.18754046853,0.0
nvt300_contained_bn_neutralized,0,111.125,0,244376.63854111603,0.0
nvt300_contained_bn_neutralized,0,112.875,0,248225.0895417635,0.0
nvt300_contained_bn_neutralized,0,114.625,0,252073.54054241104,0.0
nvt300_contained_bn_neutralized,0,116.375,0,255921.99154305854,0.0
nvt300_contained_bn_neutralized,0,118.125,0,259770.44254370604,0.0
nvt300_contained_bn_neutralized,0,119.875,0,263618.89354435354,0.0
nvt300_contained_bn_neutralized,0,121.625,0,267467.344545001,0.0
nvt300_contained_bn_neutralized,0,123.375,0,271315.7955456485,0.0
nvt300_contained_bn_neutralized,0,125.125,0,275164.246546296,0.0
nvt300_contained_bn_neutralized,0,126.875,0,279012.6975469435,0.0
nvt300_contained_bn_neutralized,0,128.625,0,282861.148547591,0.0
nvt300_contained_bn_neutralized,0,130.375,0,286709.59954823845,0.0
nvt300_contained_bn_neutralized,0,132.125,0,290558.050548886,0.0
nvt300_contained_bn_neutralized,0,133.875,0,294406.5015495335,0.0
nvt300_contained_bn_neutralized,0,135.625,0,298254.952550181,0.0
nvt300_contained_bn_neutralized,0,137.375,0,302103.4035508285,0.0
nvt300_contained_bn_neutralized,0,139.125,0,305951.85455147596,0.0
nvt300_contained_bn_neutralized,1000,0.875,27,1924.225500323748,0.014031619472591591
nvt300_contained_bn_neutralized,1000,2.625,79,5772.676500971245,0.013685159732527598
nvt300_contained_bn_neutralized,1000,4.375,112,9621.127501618741,0.01164104726615006
nvt300_contained_bn_neutralized,1000,6.125,174,13469.578502266239,0.012917998879528764
nvt300_contained_bn_neutralized,1000,7.875,194,17318.029502913734,0.011202198262069005
nvt300_contained_bn_neutralized,1000,9.625,261,21166.480503561233,0.012330817112277456
nvt300_contained_bn_neutralized,1000,11.375,303,25014.931504208726,0.0121127655276218
nvt300_contained_bn_neutralized,1000,13.125,357,28863.382504856225,0.012368612720284437
nvt300_contained_bn_neutralized,1000,14.875,408,32711.83350550372,0.012472550642303635
nvt300_contained_bn_neutralized,1000,16.625,427,36560.28450615122,0.01167934018478871
nvt300_contained_bn_neutralized,1000,18.375,487,40408.73550679871,0.012051849529368792
nvt300_contained_bn_neutralized,1000,20.125,526,44257.18650744621,0.011885075430890783
nvt300_contained_bn_neutralized,1000,21.875,628,48105.63750809371,0.013054603005611138
nvt300_contained_bn_neutralized,1000,23.625,623,51954.0885087412,0.011991356558881427
